Type of Traveler,Route Point,Airport Code,Trips,Source Row Number,Row ID,Passenger Email,Purchase Date,Travel Date,Passenger ID,Airline,Ticket Price,Route,Ticket Type,Person,Person-1,Ticket Price-1,Airport Code-1,Airport Name,Latitude,Longitude
Extreme,Origin,DFW,19,290,57,sgoranitis@vizpainter.com,2020/5/20,2020/6/18,TB-21055,American Airlines,232,DFW-COS,Business,Speros Goranitis,Speros Goranitis,160.736842105,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,COS,19,290,57,sgoranitis@vizpainter.com,2020/5/20,2020/6/18,TB-21055,American Airlines,232,DFW-COS,Business,Speros Goranitis,Speros Goranitis,160.736842105,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Infrequent,Origin,DFW,2,291,9628,bdahlen@vizpainter.com,2018/9/27,2018/11/27,BT-11440,American (AA),230,DFW-SEA,Economy,Brian Dahlen,Brian Dahlen,171.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,SEA,2,291,9628,bdahlen@vizpainter.com,2018/9/27,2018/11/27,BT-11440,American (AA),230,DFW-SEA,Economy,Brian Dahlen,Brian Dahlen,171.5,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Infrequent,Origin,DFW,4,292,7676,tcoyne@vizpainter.com,2021/4/24,2021/5/9,TS-21655,American,237,DFW-GRB,Business,Theresa Coyne,Theresa Coyne,261.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,GRB,4,292,7676,tcoyne@vizpainter.com,2021/4/24,2021/5/9,TS-21655,American,237,DFW-GRB,Business,Theresa Coyne,Theresa Coyne,261.5,GRB,Austin Straubel International Airport,44.48509979,-88.12960052
Casual,Origin,DFW,9,293,8544,sroelle@vizpainter.com,2018/7/24,2018/8/11,TB-21625,Delta,181,DFW-HIO,Economy,Steven Roelle,Steven Roelle,168.666666667,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,HIO,9,293,8544,sroelle@vizpainter.com,2018/7/24,2018/8/11,TB-21625,Delta,181,DFW-HIO,Economy,Steven Roelle,Steven Roelle,168.666666667,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Frequent,Origin,DFW,14,294,4414,sulpright@vizpainter.com,2018/5/25,2018/6/24,TB-21280,Delta,194,DFW-GRB,Economy,Stephanie Ulpright,Stephanie Ulpright,156.714285714,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,GRB,14,294,4414,sulpright@vizpainter.com,2018/5/25,2018/6/24,TB-21280,Delta,194,DFW-GRB,Economy,Stephanie Ulpright,Stephanie Ulpright,156.714285714,GRB,Austin Straubel International Airport,44.48509979,-88.12960052
Casual,Origin,DFW,8,295,7276,afoster@vizpainter.com,2019/9/23,2019/11/17,AW-10930,American Airlines,277,DFW-MCO,Business,Art Foster,Art Foster,226.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MCO,8,295,7276,afoster@vizpainter.com,2019/9/23,2019/11/17,AW-10930,American Airlines,277,DFW-MCO,Business,Art Foster,Art Foster,226.5,MCO,Orlando International Airport,28.42939949,-81.30899811
Casual,Origin,DFW,9,296,6803,lradford@vizpainter.com,2020/8/31,2020/12/31,LW-16825,United,289,DFW-HIO,Economy,Lena Radford,Lena Radford,216.555555556,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,HIO,9,296,6803,lradford@vizpainter.com,2020/8/31,2020/12/31,LW-16825,United,289,DFW-HIO,Economy,Lena Radford,Lena Radford,216.555555556,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Extreme,Origin,DFW,16,297,1638,ndecherney@vizpainter.com,2018/9/9,2018/12/2,NW-18400,Delta,228,DFW-SAN,Economy,Natalie DeCherney,Natalie DeCherney,126,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,SAN,16,297,1638,ndecherney@vizpainter.com,2018/9/9,2018/12/2,NW-18400,Delta,228,DFW-SAN,Economy,Natalie DeCherney,Natalie DeCherney,126,SAN,San Diego International Airport,32.73360062,-117.1900024
Frequent,Origin,DFW,11,298,4473,mcrier,2021/9/6,2021/9/29,MG-17680,United,434,DFW-HIO,Business,Marc Crier,Marc Crier,180.727272727,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,HIO,11,298,4473,mcrier,2021/9/6,2021/9/29,MG-17680,United,434,DFW-HIO,Business,Marc Crier,Marc Crier,180.727272727,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Infrequent,Origin,DFW,3,299,6245,jdaniels@vizpainter.com,2019/11/14,2019/11/25,KB-16405,American,208,DFW-CMH,Business,Joy Daniels,Joy Daniels,152.666666667,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,CMH,3,299,6245,jdaniels@vizpainter.com,2019/11/14,2019/11/25,KB-16405,American,208,DFW-CMH,Business,Joy Daniels,Joy Daniels,152.666666667,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Infrequent,Origin,DFW,1,300,6172,myedwab@vizpainter.com,2020/12/1,2020/12/23,MH-17440,AA,66,DFW-CMH,Economy,Maribeth Yedwab,Maribeth Yedwab,66,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,CMH,1,300,6172,myedwab@vizpainter.com,2020/12/1,2020/12/23,MH-17440,AA,66,DFW-CMH,Economy,Maribeth Yedwab,Maribeth Yedwab,66,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,6,301,1767,mreese@vizpainter.com,2020/5/15,2020/8/8,ML-17755,American,247,DFW-IAD,Economy,Mathew Reese,Mathew Reese,151.333333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,IAD,6,301,1767,mreese@vizpainter.com,2020/5/15,2020/8/8,ML-17755,American,247,DFW-IAD,Economy,Mathew Reese,Mathew Reese,151.333333333,IAD,Washington Dulles International Airport,38.94449997,-77.45580292
Casual,Origin,DFW,6,302,8824,dhallsten@vizpainter.com,2021/10/20,2021/11/7,DK-13090,American (AA),155,DFW-COS,Economy,Dave Hallsten,Dave Hallsten,150.833333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,COS,6,302,8824,dhallsten@vizpainter.com,2021/10/20,2021/11/7,DK-13090,American (AA),155,DFW-COS,Economy,Dave Hallsten,Dave Hallsten,150.833333333,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Infrequent,Origin,DFW,2,303,8382,aschoenberger@vizpainter.com,2020/2/9,2020/3/19,AC-10660,Delta,145,DFW-SAN,Economy,Alan Schoenberger,Alan Schoenberger,117.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,SAN,2,303,8382,aschoenberger@vizpainter.com,2020/2/9,2020/3/19,AC-10660,Delta,145,DFW-SAN,Economy,Alan Schoenberger,Alan Schoenberger,117.5,SAN,San Diego International Airport,32.73360062,-117.1900024
Casual,Origin,DFW,10,304,5261,scooley@vizpainter.com,2018/8/10,2018/9/10,SZ-20035,Delta,541,DFW-SAN,1st Class,Sonia Cooley,Sonia Cooley,256.2,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SAN,10,304,5261,scooley@vizpainter.com,2018/8/10,2018/9/10,SZ-20035,Delta,541,DFW-SAN,1st Class,Sonia Cooley,Sonia Cooley,256.2,SAN,San Diego International Airport,32.73360062,-117.1900024
Extreme,Origin,DFW,17,305,2650,schapman@vizpainter.com,2018/5/28,2018/9/12,TB-21400,United,284,DFW-SAN,Economy,Steve Chapman,Steve Chapman,145.058823529,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,SAN,17,305,2650,schapman@vizpainter.com,2018/5/28,2018/9/12,TB-21400,United,284,DFW-SAN,Economy,Steve Chapman,Steve Chapman,145.058823529,SAN,San Diego International Airport,32.73360062,-117.1900024
Frequent,Origin,DFW,13,306,2700,sshifley@vizpainter.com,2018/1/31,2018/3/23,SM-20320,Delta,114,DFW-CMH,Economy,Saphhira Shifley,Saphhira Shifley,132.923076923,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,CMH,13,306,2700,sshifley@vizpainter.com,2018/1/31,2018/3/23,SM-20320,Delta,114,DFW-CMH,Economy,Saphhira Shifley,Saphhira Shifley,132.923076923,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,8,307,9292,tboland@vizpainter.com,2018/8/22,2018/9/25,TT-21220,United,114,DFW-SEA,Economy,Thomas Boland,Thomas Boland,125.25,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SEA,8,307,9292,tboland@vizpainter.com,2018/8/22,2018/9/25,TT-21220,United,114,DFW-SEA,Economy,Thomas Boland,Thomas Boland,125.25,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Casual,Origin,DFW,5,308,4358,rhansen@vizpainter.com,2021/11/13,2021/12/11,RR-19315,United,86,DFW-COS,Economy,Rick Hansen,Rick Hansen,134.2,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,COS,5,308,4358,rhansen@vizpainter.com,2021/11/13,2021/12/11,RR-19315,United,86,DFW-COS,Economy,Rick Hansen,Rick Hansen,134.2,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Casual,Origin,DFW,8,309,3060,gtran@vizpainter.com,2021/9/15,2021/10/23,HH-15010,Delta,62,DFW-ELP,Economy,Greg Tran,Greg Tran,120,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,ELP,8,309,3060,gtran@vizpainter.com,2021/9/15,2021/10/23,HH-15010,Delta,62,DFW-ELP,Economy,Greg Tran,Greg Tran,120,ELP,El Paso International Airport,31.80719948,-106.3779984
Infrequent,Origin,DFW,3,310,2512,ktakahito@vizpainter.com,2019/3/22,2019/4/19,KW-16570,United,211,DFW-HIO,Economy,Kean Takahito,Kean Takahito,135,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,HIO,3,310,2512,ktakahito@vizpainter.com,2019/3/22,2019/4/19,KW-16570,United,211,DFW-HIO,Economy,Kean Takahito,Kean Takahito,135,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Frequent,Origin,DFW,14,311,1640,sulpright@vizpainter.com,2020/5/18,2020/6/1,TB-21280,United,51,DFW-SEA,Economy,Stephanie Ulpright,Stephanie Ulpright,156.714285714,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,SEA,14,311,1640,sulpright@vizpainter.com,2020/5/18,2020/6/1,TB-21280,United,51,DFW-SEA,Economy,Stephanie Ulpright,Stephanie Ulpright,156.714285714,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Infrequent,Origin,DFW,2,312,7580,airving@vizpainter.com,2019/11/4,2019/11/27,AT-10735,American (AA),169,DFW-GRB,Economy,Arianne Irving,Arianne Irving,212.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,GRB,2,312,7580,airving@vizpainter.com,2019/11/4,2019/11/27,AT-10735,American (AA),169,DFW-GRB,Economy,Arianne Irving,Arianne Irving,212.5,GRB,Austin Straubel International Airport,44.48509979,-88.12960052
Frequent,Origin,DFW,11,313,2246,bpak@vizpainter.com,2021/8/6,2021/11/25,BF-11005,American (AA),287,DFW-GRB,Business,Becky Pak,Becky Pak,164.727272727,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,GRB,11,313,2246,bpak@vizpainter.com,2021/8/6,2021/11/25,BF-11005,American (AA),287,DFW-GRB,Business,Becky Pak,Becky Pak,164.727272727,GRB,Austin Straubel International Airport,44.48509979,-88.12960052
Casual,Origin,DFW,9,314,4264,dpercer@vizpainter.com,2021/10/18,2021/11/8,DM-13015,United,223,DFW-SEA,Economy,Dean percer,Dean percer,140.222222222,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SEA,9,314,4264,dpercer@vizpainter.com,2021/10/18,2021/11/8,DM-13015,United,223,DFW-SEA,Economy,Dean percer,Dean percer,140.222222222,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Infrequent,Origin,DFW,2,315,6194,aavila@vizpainter.com,2021/10/12,2021/12/26,AG-10330,American (AA),110,DFW-SEA,Economy,Alex Avila,Alex Avila,85,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,SEA,2,315,6194,aavila@vizpainter.com,2021/10/12,2021/12/26,AG-10330,American (AA),110,DFW-SEA,Economy,Alex Avila,Alex Avila,85,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Casual,Origin,DFW,10,316,3630,cadams@vizpainter.com,2021/11/14,2021/11/29,CC-12610,American Airlines,181,DFW-GRB,Economy,Carol Adams,Carol Adams,158.3,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,GRB,10,316,3630,cadams@vizpainter.com,2021/11/14,2021/11/29,CC-12610,American Airlines,181,DFW-GRB,Economy,Carol Adams,Carol Adams,158.3,GRB,Austin Straubel International Airport,44.48509979,-88.12960052
Casual,Origin,DFW,10,317,4883,sperrino@vizpainter.com,2021/9/2,2021/11/4,TB-21175,Delta,230,DFW-JFK,Economy,Stefania Perrino,Stefania Perrino,199.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,JFK,10,317,4883,sperrino@vizpainter.com,2021/9/2,2021/11/4,TB-21175,Delta,230,DFW-JFK,Economy,Stefania Perrino,Stefania Perrino,199.5,JFK,John F Kennedy International Airport,40.63980103,-73.77890015
Frequent,Origin,DFW,15,318,3116,mtillman@vizpainter.com,2020/7/9,2020/8/30,MS-17770,Delta,515,DFW-SLC,Business,Meg Tillman,Meg Tillman,189.933333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,SLC,15,318,3116,mtillman@vizpainter.com,2020/7/9,2020/8/30,MS-17770,Delta,515,DFW-SLC,Business,Meg Tillman,Meg Tillman,189.933333333,SLC,Salt Lake City International Airport,40.78839874,-111.9779968
Extreme,Origin,DFW,18,319,4658,sweien@vizpainter.com,2019/3/20,2019/5/7,SV-20785,American Airlines,264,DFW-GRB,Economy,Shaun Weien,Shaun Weien,190.833333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,GRB,18,319,4658,sweien@vizpainter.com,2019/3/20,2019/5/7,SV-20785,American Airlines,264,DFW-GRB,Economy,Shaun Weien,Shaun Weien,190.833333333,GRB,Austin Straubel International Airport,44.48509979,-88.12960052
Casual,Origin,DFW,6,320,2118,sjackson@vizpainter.com,2020/8/9,2020/9/23,SW-20245,Delta,250,DFW-COS,Economy,Shirley Jackson,Shirley Jackson,141.166666667,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,COS,6,320,2118,sjackson@vizpainter.com,2020/8/9,2020/9/23,SW-20245,Delta,250,DFW-COS,Economy,Shirley Jackson,Shirley Jackson,141.166666667,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Casual,Origin,DFW,9,321,568,dliebe@vizpainter.com,2021/8/30,2021/10/7,EB-13840,American Airlines,68,DFW-SEA,Economy,Dorris liebe,Dorris liebe,175.555555556,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SEA,9,321,568,dliebe@vizpainter.com,2021/8/30,2021/10/7,EB-13840,American Airlines,68,DFW-SEA,Economy,Dorris liebe,Dorris liebe,175.555555556,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Frequent,Origin,DFW,12,322,4575,mmorse@vizpainter.com,2020/11/28,2020/12/18,MG-17650,Delta,332,DFW-MCO,Economy,Magdelene Morse,Magdelene Morse,202.333333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,MCO,12,322,4575,mmorse@vizpainter.com,2020/11/28,2020/12/18,MG-17650,Delta,332,DFW-MCO,Economy,Magdelene Morse,Magdelene Morse,202.333333333,MCO,Orlando International Airport,28.42939949,-81.30899811
Casual,Origin,DFW,7,323,836,handreada@vizpainter.com,2020/7/1,2020/7/26,JB-15400,Delta,184,DFW-CHS,Business,Helen Andreada,Helen Andreada,142.571428571,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,CHS,7,323,836,handreada@vizpainter.com,2020/7/1,2020/7/26,JB-15400,Delta,184,DFW-CHS,Business,Helen Andreada,Helen Andreada,142.571428571,CHS,Charleston Air Force Base-International Airport,32.89860153,-80.04049683
Infrequent,Origin,DFW,4,324,5325,thouse@vizpainter.com,2019/11/25,2019/12/9,TZ-21580,American (AA),354,DFW-CMH,Business,Tiffany House,Tiffany House,185.25,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,CMH,4,324,5325,thouse@vizpainter.com,2019/11/25,2019/12/9,TZ-21580,American (AA),354,DFW-CMH,Business,Tiffany House,Tiffany House,185.25,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,6,325,635,bfranzösisch@vizpainter.com,2021/9/20,2021/9/26,BD-11605,Delta,219,DFW-IAD,Economy,Barry Französisch,Barry Französisch,182.833333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,IAD,6,325,635,bfranzösisch@vizpainter.com,2021/9/20,2021/9/26,BD-11605,Delta,219,DFW-IAD,Economy,Barry Französisch,Barry Französisch,182.833333333,IAD,Washington Dulles International Airport,38.94449997,-77.45580292
Infrequent,Origin,DFW,3,326,5170,rdilbeck@vizpainter.com,2018/9/18,2018/11/16,SC-20020,Delta,278,DFW-JFK,Economy,Robert Dilbeck,Robert Dilbeck,218.666666667,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,JFK,3,326,5170,rdilbeck@vizpainter.com,2018/9/18,2018/11/16,SC-20020,Delta,278,DFW-JFK,Economy,Robert Dilbeck,Robert Dilbeck,218.666666667,JFK,John F Kennedy International Airport,40.63980103,-73.77890015
Infrequent,Origin,DFW,3,327,1041,pfox@vizpainter.com,2020/2/1,2020/3/24,RD-19660,American,444,DFW-ELP,1st Class,Philip Fox,Philip Fox,249,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,ELP,3,327,1041,pfox@vizpainter.com,2020/2/1,2020/3/24,RD-19660,American,444,DFW-ELP,1st Class,Philip Fox,Philip Fox,249,ELP,El Paso International Airport,31.80719948,-106.3779984
Casual,Origin,DFW,5,328,9364,pjones@vizpainter.com,2021/3/2,2021/3/25,PS-18970,AA,286,DFW-MCO,Economy,Patrick Jones,Patrick Jones,131,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MCO,5,328,9364,pjones@vizpainter.com,2021/3/2,2021/3/25,PS-18970,AA,286,DFW-MCO,Economy,Patrick Jones,Patrick Jones,131,MCO,Orlando International Airport,28.42939949,-81.30899811
Infrequent,Origin,DFW,4,329,9253,dlatchford@vizpainter.com,2021/9/10,2021/9/25,DO-13645,Delta,414,DFW-HIO,Business,Delfina Latchford,Delfina Latchford,368.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,HIO,4,329,9253,dlatchford@vizpainter.com,2021/9/10,2021/9/25,DO-13645,Delta,414,DFW-HIO,Business,Delfina Latchford,Delfina Latchford,368.5,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Infrequent,Origin,DFW,4,330,4764,npatel@vizpainter.com,2018/7/31,2018/9/21,NR-18550,AA,106,DFW-MEM,Economy,Naresj Patel,Naresj Patel,150.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,MEM,4,330,4764,npatel@vizpainter.com,2018/7/31,2018/9/21,NR-18550,AA,106,DFW-MEM,Economy,Naresj Patel,Naresj Patel,150.5,MEM,Memphis International Airport,35.04240036,-89.97669983
Casual,Origin,DFW,6,331,6937,ssunley@vizpainter.com,2020/8/14,2020/9/4,TA-21385,Delta,382,DFW-MCO,Business,Sonia Sunley,Sonia Sunley,155.833333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MCO,6,331,6937,ssunley@vizpainter.com,2020/8/14,2020/9/4,TA-21385,Delta,382,DFW-MCO,Business,Sonia Sunley,Sonia Sunley,155.833333333,MCO,Orlando International Airport,28.42939949,-81.30899811
Infrequent,Origin,DFW,4,332,8423,mmacintyre@vizpainter.com,2021/9/17,2021/10/16,NP-18670,American (AA),119,DFW-BUR,Economy,Muhammed MacIntyre,Muhammed MacIntyre,164.25,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,BUR,4,332,8423,mmacintyre@vizpainter.com,2021/9/17,2021/10/16,NP-18670,American (AA),119,DFW-BUR,Economy,Muhammed MacIntyre,Muhammed MacIntyre,164.25,BUR,Bob Hope Airport,34.20069885,-118.3590012
Extreme,Origin,DFW,21,333,2811,mjones@vizpainter.com,2019/8/19,2019/11/18,MP-18175,AA,321,DFW-COS,1st Class,Max Jones,Max Jones,145.904761905,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,COS,21,333,2811,mjones@vizpainter.com,2019/8/19,2019/11/18,MP-18175,AA,321,DFW-COS,1st Class,Max Jones,Max Jones,145.904761905,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Frequent,Origin,DFW,14,334,868,lelliston@vizpainter.com,2020/6/22,2020/10/1,LS-16945,Delta,207,DFW-IAD,Economy,Laurel Elliston,Laurel Elliston,168.642857143,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,IAD,14,334,868,lelliston@vizpainter.com,2020/6/22,2020/10/1,LS-16945,Delta,207,DFW-IAD,Economy,Laurel Elliston,Laurel Elliston,168.642857143,IAD,Washington Dulles International Airport,38.94449997,-77.45580292
Infrequent,Origin,DFW,3,335,7772,ccatlett@vizpainter.com,2020/11/16,2020/12/2,CS-12505,United,140,DFW-SEA,Economy,Corey Catlett,Corey Catlett,144.666666667,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,SEA,3,335,7772,ccatlett@vizpainter.com,2020/11/16,2020/12/2,CS-12505,United,140,DFW-SEA,Economy,Corey Catlett,Corey Catlett,144.666666667,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Infrequent,Origin,DFW,2,336,9372,tsumrall@vizpainter.com,2019/4/5,2019/5/31,VP-21760,Delta,315,DFW-SLC,Economy,Todd Sumrall,Todd Sumrall,355,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,SLC,2,336,9372,tsumrall@vizpainter.com,2019/4/5,2019/5/31,VP-21760,Delta,315,DFW-SLC,Economy,Todd Sumrall,Todd Sumrall,355,SLC,Salt Lake City International Airport,40.78839874,-111.9779968
Casual,Origin,DFW,7,337,8508,scompany@vizpainter.com,2020/2/27,2020/3/12,SJ-20125,United,255,DFW-MEM,Economy,Sample Company A,Sample Company A,214.857142857,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MEM,7,337,8508,scompany@vizpainter.com,2020/2/27,2020/3/12,SJ-20125,United,255,DFW-MEM,Economy,Sample Company A,Sample Company A,214.857142857,MEM,Memphis International Airport,35.04240036,-89.97669983
Casual,Origin,DFW,10,338,4612,gmatthias@vizpainter.com,2019/12/27,2020/1/26,HG-14965,American,177,DFW-SEA,Economy,Greg Matthias,Greg Matthias,225.8,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SEA,10,338,4612,gmatthias@vizpainter.com,2019/12/27,2020/1/26,HG-14965,American,177,DFW-SEA,Economy,Greg Matthias,Greg Matthias,225.8,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Casual,Origin,DFW,9,339,7159,cludwig@vizpainter.com,2020/3/12,2020/3/31,CC-12220,United,143,DFW-COS,Economy,Carl Ludwig,Carl Ludwig,158.111111111,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,COS,9,339,7159,cludwig@vizpainter.com,2020/3/12,2020/3/31,CC-12220,United,143,DFW-COS,Economy,Carl Ludwig,Carl Ludwig,158.111111111,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Casual,Origin,DFW,5,340,3029,areiter@vizpainter.com,2021/11/29,2021/12/21,AI-10855,Delta,495,DFW-SLC,Business,Andy Reiter,Andy Reiter,294,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SLC,5,340,3029,areiter@vizpainter.com,2021/11/29,2021/12/21,AI-10855,Delta,495,DFW-SLC,Business,Andy Reiter,Andy Reiter,294,SLC,Salt Lake City International Airport,40.78839874,-111.9779968
Casual,Origin,DFW,8,341,7464,ltron@vizpainter.com,2020/7/5,2020/9/15,LP-17095,United,86,DFW-CMH,Economy,Larry Tron,Larry Tron,206.875,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,CMH,8,341,7464,ltron@vizpainter.com,2020/7/5,2020/9/15,LP-17095,United,86,DFW-CMH,Economy,Larry Tron,Larry Tron,206.875,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,10,342,8956,gmatthias@vizpainter.com,2018/9/13,2018/9/24,HG-14965,United,344,DFW-COS,Business,Greg Matthias,Greg Matthias,225.8,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,COS,10,342,8956,gmatthias@vizpainter.com,2018/9/13,2018/9/24,HG-14965,United,344,DFW-COS,Business,Greg Matthias,Greg Matthias,225.8,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Casual,Origin,DFW,9,343,2252,jrupert@vizpainter.com,2018/12/6,2019/2/18,JM-16195,United,73,DFW-COS,Economy,Jocasta Rupert,Jocasta Rupert,127.666666667,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,COS,9,343,2252,jrupert@vizpainter.com,2018/12/6,2019/2/18,JM-16195,United,73,DFW-COS,Economy,Jocasta Rupert,Jocasta Rupert,127.666666667,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Extreme,Origin,DFW,19,344,1147,mhuthwaite@vizpainter.com,2019/2/26,2019/4/4,NC-18340,AA,204,DFW-GRB,Economy,Michelle Huthwaite,Michelle Huthwaite,191,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,GRB,19,344,1147,mhuthwaite@vizpainter.com,2019/2/26,2019/4/4,NC-18340,AA,204,DFW-GRB,Economy,Michelle Huthwaite,Michelle Huthwaite,191,GRB,Austin Straubel International Airport,44.48509979,-88.12960052
Frequent,Origin,DFW,12,345,2943,iliston@vizpainter.com,2021/2/25,2021/3/30,JD-16150,American (AA),389,DFW-SLC,Economy,Ivan Liston,Ivan Liston,193.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,SLC,12,345,2943,iliston@vizpainter.com,2021/2/25,2021/3/30,JD-16150,American (AA),389,DFW-SLC,Economy,Ivan Liston,Ivan Liston,193.5,SLC,Salt Lake City International Airport,40.78839874,-111.9779968
Infrequent,Origin,DFW,2,346,8993,tsumrall@vizpainter.com,2021/9/26,2021/10/20,VP-21760,United,395,DFW-HIO,Business,Todd Sumrall,Todd Sumrall,355,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
